covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Agec,-0.695296901496295,0.49892629402942046,0.05912070137148396,-0.8111713469251514,-0.5794224560674386,0.4443372881603779,0.5602218258668503,0.0,-11.760633506822057,6.226533856044502e-32,103.66326975922722
ALSFRS_Raschc,1.1008062225127178,3.0065890268353743,0.036660451894346385,1.0289530571428356,1.1726593878826,2.79813481340462,3.2305725703358847,0.0,30.027077289859573,4.349957931661843e-198,655.6207613389379
TRICALSc,3.2361290967639817,25.43507423188248,0.08398318427613669,3.071525080275763,3.4007331132522003,21.574780870445625,29.986075180378396,0.0,38.5330602150496,0.0,inf
Diagnosis_delayc,4.863329263323305,129.45447349722454,0.1416953587428415,4.585611463410853,5.1410470632357566,98.06313083001133,170.8946121401504,0.0,34.322431634120136,3.632277257115851e-258,855.1965741510531
Vital_Capacityc,3.4889014152350017,32.749949340824195,0.11822005042758899,3.2571943741464184,3.720608456323585,25.97655431676277,41.28950933012793,0.0,29.511926298593405,2.0240999449530578e-191,633.4709855950507
Onset_site_limb,0.8879462447143812,2.430133622963229,0.05192843521247129,0.786168381924416,0.9897241075043465,2.194970006401958,2.6904920833687807,0.0,17.09942233154619,1.4988252709257686e-65,215.34149396015113
Riluzole_use_Yes,0.13427816483284222,1.1437109155566934,0.055530370160156904,0.025440639270756973,0.24311569039492748,1.0257670141851676,1.2752161458444022,0.0,2.418103182917137,0.015601652014828098,6.002157389699238
European_1,0.2789035694828461,1.321679887449235,0.13052973578812374,0.023069988426594634,0.5347371505390976,1.02333815886854,1.706999499382711,0.0,2.1367052327108302,0.032621974141776776,4.938012099375059
Sex_Riluzole,0.08745393526195311,1.0913919885989276,0.04361949329542614,0.001961299379031528,0.1729465711448747,1.0019632239846956,1.188802587026004,0.0,2.0049278121972907,0.044970764915507555,4.4748687665099744
Age_Riluzole,0.1628174852725545,1.1768218827611654,0.06103021776306108,0.04320045648831812,0.2824345140567909,1.044147179950614,1.3263549146500953,0.0,2.6678175376116844,0.007634570732144691,7.033237243555672
