covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Agec,-0.4987694337175693,0.6072774953128462,0.05758028833665093,-0.6116247250768369,-0.3859141423583018,0.5424687900539832,0.6798288916800996,0.0,-8.662155889207197,4.629247006772405e-18,57.58392816415061
ALSFRS_Raschc,0.86250045971749,2.3690770755810564,0.058618452022195754,0.7476104049244973,0.9773905145104828,2.1119472831959114,2.6575124458364874,0.0,14.713804782680137,5.2566797347659314e-49,160.3803248086436
TRICALSc,2.7329855087970545,15.378731890068678,0.13697151698866716,2.4645262685914506,3.0014447490026583,11.757910740791495,20.114576454991422,0.0,19.952947655702594,1.4130685930652153e-88,291.8308408515263
Diagnosis_delayc,3.8771310122594733,48.285485693560744,0.22319092103061502,3.4396848453631446,4.314577179155802,31.177131002453084,74.78199737107346,0.0,17.371365261437532,1.3595236077686055e-67,222.1260811538545
Vital_Capacityc,2.964478645974495,19.38459437024226,0.2097354401535839,2.5534047369918147,3.375552554957175,12.850782918459696,29.240436266265025,0.0,14.134371586431378,2.33206438482125e-45,148.2651566501836
Onset_site_limb,0.8274064513995929,2.2873786129891593,0.09762816201013133,0.6360587699828939,1.018754132816292,1.889021121902679,2.769741882976026,0.0,8.475079673360327,2.3491870574421277e-17,55.24061601846661
Riluzole_use_Yes,-0.10477885392182577,0.9005236478405927,0.07044672820888495,-0.24285190403992213,0.033294196196270595,0.7843876698152583,1.0338546506106143,0.0,-1.4873487610544667,0.13692272228179486,2.868566213645183
Sex_Male,0.025152119591568784,1.0254711029054795,0.0709288196799761,-0.11386581244712017,0.16417005163025775,0.892377693827537,1.178414689394302,0.0,0.3546107168433465,0.7228812464110369,0.4681694315084911

selected_features:,"Agec,ALSFRS_Raschc,TRICALSc,Diagnosis_delayc,Vital_Capacityc,Onset_site_limb,Riluzole_use_Yes,Sex_Male"
c_index:,0.5559419413365588
