covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Agec,-0.3923783272757403,0.6754485250151682,0.07079527548152338,-0.5311345174951176,-0.25362213705636294,0.5879375657048704,0.7759849626179225,0.0,-5.5424366189258745,2.9829138915292665e-08,24.998702427438765
ALSFRS_Raschc,0.5192309163570982,1.6807345270700644,0.05659909435259257,0.40829872986843235,0.6301631028457639,1.5042564603917232,1.8779168478690191,0.0,9.173837890805657,4.56471279008197e-20,64.24803780848183
TRICALSc,1.8341279047791916,6.2596727336714455,0.13481565489347655,1.5698940766357965,2.0983617329225868,4.806139084391716,8.152802497938731,0.0,13.604710122340112,3.7545408582017904e-42,137.61234349353398
Diagnosis_delayc,2.6075863761482942,13.566267437664772,0.21813151449950435,2.180056463836089,3.0351162884604994,8.846805769209476,20.80339695382383,0.0,11.95419369883951,6.172979952892468e-33,106.99766002514959
Vital_Capacityc,1.7359133310907078,5.6741077769743615,0.20487709732534173,1.3343615990759305,2.137465063105485,3.7975707996859382,8.477919376087346,0.0,8.472949654953885,2.392560050646707e-17,55.21422247784806
Onset_site_limb,0.7212936974919694,2.057092745681892,0.09596977501423926,0.5331963948596485,0.9093910001242902,1.7043714553160298,2.4828100418710806,0.0,7.515842330410271,5.654566811464911e-14,44.00757682284447
Riluzole_use_Yes,-0.004181519958618008,0.9958272104229701,0.06976113935173096,-0.1409108406084906,0.13254780069125457,0.8685667491283171,1.14173359043968,0.0,-0.05994053419246876,0.9522029962984634,0.07065892625552155
European_1,0.41371187278244026,1.5124212943604813,0.18353179152028137,0.053996171384575076,0.7734275741803054,1.0554805611181872,2.1671817140921275,0.0,2.2541700778675318,0.024185470418781156,5.369715590620578
Sex_Male,0.15988926192166697,1.1733809258481243,0.06861810242573524,0.025400252479745394,0.2943782713635885,1.0257255875836886,1.3422915581033674,0.0,2.3301323742479427,0.019799155824903613,5.658417270236926
Age_Riluzole,0.14609262090922315,1.1573033735776168,0.07283457795252804,0.003339471293093116,0.2888457705253532,1.0033450535395394,1.3348858339105296,0.0,2.0058140654627405,0.04487608942000481,4.4779092272900485

selected_features:,"Agec,ALSFRS_Raschc,TRICALSc,Diagnosis_delayc,Vital_Capacityc,Onset_site_limb,Riluzole_use_Yes,European_1,Sex_Male,Age_Riluzole"
c_index:,0.6952257199144906
